,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework
344,No,,1979.8174603174605,,1,3,,345,4,0,2,5, mAnAGer ,3,,,"41576,17$",1,No,12,,2,Full Time,1,"22,0",3,"3,0",22,2,10,1982,"191890,00$",False
345,Yes,,228.63492063492063, Research & Development ,-35,2,,346,35,1,1,1, reSEArch SCIEntIsT ,2,,"1846,67$","4801,33$",7,Yes,13,"3,0",4,Part Time,0,"10,0",4,"3,0",7,3,7,1995,"22160,00$",1
346,No,,1208.484126984127, Research & Development ,8,3,,347,1,1,4,3, rESeArCh DIrEctor ,1,Married,"9760,83$","25378,17$",9,,14,"3,0",1,Full Time,1,"10,0",2,"3,0",8,0,5,1987,"117130,00$",False
347,No,,547.2380952380953,,27,5,Marketing,348,3,0,3,2, SALEs eXecutIVE ,4,Divorced,"4420,00$","11492,00$",7,No,23,,4,,1,"10,0",2,"2,0",8,7,7,1993,"53040,00$",True
348,No,travel_rarely,1145.547619047619,,9,3,,349,3,0,3,4, heALTHcaRE rEPresEnTAtIve ,4,Married,"9252,50$","24056,50$",7,No,11,"3,0",3,Full Time,0,"30,0",1,"2,0",10,1,1,1967,"111030,00$",False
349,No,travel_rarely,684.2539682539683,,2,2,,350,2,0,1,2, SalES rEpRESeNtAtive ,3,Single,"5526,67$","14369,33$",0,No,13,"3,0",1,Full Time,0,"9,0",3,"3,0",8,3,1,1978,"66320,00$",1
350,No,non-travel,782.7857142857142,,8,4,,351,1,0,2,3, SaLEs eXeCutiVE ,1,Single,"6322,50$","16438,50$",1,,15,"3,0",2,Part Time,0,"10,0",1,"3,0",10,0,9,1987,"75870,00$",False
351,No,,447.2619047619048,,27,3,Medical,352,2,1,3,2, HEalTHcArE repREsENtaTIVE ,3,Married,"3612,50$","9392,50$",4,No,12,"3,0",1,Part Time,1,"11,0",3,"2,0",8,1,1,1994,"43350,00$",1
352,No,,616.984126984127,,2,4,Life Sciences,353,1,1,4,2, mAnUfactUrING DiReCToR ,1,Single,"4983,33$","12956,67$",6,,12,"3,0",4,Full Time,0,"17,0",2,"3,0",15,4,12,1985,"59800,00$",True
353,No,,437.8730158730159,,-13,2,Medical,354,13,1,4,2, HeALTHCARe rEpRESEnTaTIve ,2,,"3536,67$","9195,33$",1,No,24,"4,0",4,,1,"8,0",2,"3,0",8,3,7,1983,,1
354,No,travel_frequently,1973.9841269841268,,8,3,,355,2,0,3,5, MANAGER ,4,,"15943,72$","41453,67$",1,No,13,"3,0",2,,1,"24,0",4,"2,0",24,14,9,1981,,1
355,No,travel_rarely,539.3968253968254,,1,3,Other,356,3,1,3,2, MANufacTuRInG DIReCtor ,2,,"4356,67$","11327,33$",0,,15,"3,0",1,Part Time,1,,2,"3,0",9,0,5,1987,"52280,00$",False
356,No,travel_rarely,278.57142857142856,,23,2,,357,3,0,4,1, RESEARCh SciENTist ,3,Married,"2250,00$","5850,00$",1,,24,"4,0",3,Part Time,1,"10,0",3,"3,0",10,0,7,1994,"27000,00$",1
357,Yes,,556.2566609977324,,2,1,Medical,358,3,0,3,2, SALes EXECutIVe ,4,Single,,"11681,39$",4,,16,"3,0",3,Part Time,0,,3,"2,0",9,7,3,1968,"53914,11$",False
358,No,,556.2566609977324, Sales ,2,4,,359,2,1,3,2, saLES ExECUtiVe ,2,,,"11681,39$",1,,20,"4,0",1,Part Time,0,"8,0",2,"3,0",8,7,5,1995,"53914,11$",1
359,Yes,,244.11111111111111,,5,2,Medical,360,3,1,2,1, reSeArch sCIenTIst ,3,Married,"1971,67$","5126,33$",1,,14,"3,0",1,Part Time,1,"8,0",2,"3,0",8,1,7,1997,"23660,00$",1
360,No,,290.03550973654063,,9,2,,361,2,0,3,1, resEarch sCiEnTISt ,1,,"2342,59$","6090,75$",1,Yes,13,"3,0",4,,0,"8,0",0,"3,0",8,7,1,1979,,1
361,Yes,,290.03550973654063, Research & Development ,2,4,Life Sciences,362,2,1,1,1, LaboRATory tEchNICIAn ,4,Divorced,"2342,59$","6090,75$",4,Yes,13,"3,0",3,,1,,1,"2,0",7,1,0,1982,,True
362,No,travel_rarely,240.2936507936508,,7,4,,363,2,0,2,1, saleS rePResENTatIVe ,3,,"1940,83$","5046,17$",3,,15,,2,Part Time,0,,2,"4,0",7,5,2,1992,"23290,00$",0
363,No,travel_frequently,443.031746031746, Sales ,-28,3,Medical,364,28,0,2,2, SAlEs exECUtIVe ,1,,,"9303,67$",1,,12,"3,0",2,Part Time,0,,2,"3,0",7,0,7,1997,"42940,00$",Yes
364,No,,556.2566609977324,,12,3,Medical,365,4,1,3,2, HeAlThCArE REpreSENTaTive ,4,,,"11681,39$",0,,11,"3,0",3,Part Time,2,"10,0",2,"1,0",9,8,5,1992,"53914,11$",False
365,No,,693.8492063492063,,3,4,Medical,366,3,1,3,2, ManUfActurINg DiRectoR ,1,Married,,"14570,83$",1,,12,"3,0",3,Full Time,1,"8,0",2,"4,0",8,6,3,1991,"67250,00$",0
366,Yes,travel_rarely,1065.2777777777778,,3,1,Life Sciences,367,3,0,2,3, SALes EXECuTiVe ,4,Married,"8604,17$","22370,83$",1,,11,,1,Full Time,1,,6,"3,0",16,3,7,1987,"103250,00$",0
367,No,non-travel,458.8174603174604,,-47,2,,368,47,0,3,2, lABORaTory tecHNiCiAN ,2,,,"9635,17$",1,,12,"3,0",2,Part Time,0,,5,"2,0",9,0,8,1978,"44470,00$",1
368,No,travel_rarely,1032.4872861766066,,2,5,,369,1,0,4,3, saLEs exEcUTIVe ,3,Single,,"21682,23$",0,No,18,"3,0",4,Part Time,0,"9,0",3,"3,0",8,0,7,1984,"100071,84$",0
369,No,non-travel,556.2566609977324,,8,4,Technical Degree,370,1,0,3,2, SaLes EXeCuTiVE ,4,Divorced,"4492,84$","11681,39$",4,No,13,,4,Part Time,2,"12,0",3,"3,0",7,0,7,1987,"53914,11$",Yes
370,No,,1118.928571428571,,7,2,Medical,371,4,0,3,3, ManuFActurIng dIrEctOr ,3,,"9037,50$","23497,50$",6,,13,"3,0",2,Full Time,1,,3,"3,0",8,0,7,1977,"108450,00$",0
371,No,travel_rarely,1032.4872861766066,,17,3,Technical Degree,372,3,1,3,3, MaNUfaCtUrInG diRectOr ,3,,"8339,32$","21682,23$",8,,11,,3,Part Time,1,"22,0",2,"3,0",10,0,8,1969,"100071,84$",True
372,No,travel_rarely,1032.4872861766066,,8,2,,373,2,1,4,3, REseARCH DIrECTOr ,1,,"8339,32$","21682,23$",0,Yes,12,"3,0",3,Part Time,3,,4,"2,0",8,1,7,1993,"100071,84$",True
373,No,,564.5714285714286,,2,2,Medical,374,4,0,4,2, MaNUFActURinG DIreCtoR ,4,Married,,"11856,00$",1,,12,"3,0",2,Full Time,0,,2,"3,0",8,1,3,1997,"54720,00$",0
374,No,travel_frequently,658.7698412698413,,18,4,Medical,375,3,0,3,2, HeAltHCarE rEpREsENtAtIVe ,2,Married,"5320,83$","13834,17$",3,,14,"3,0",4,Full Time,2,,3,"3,0",8,6,7,1968,"63850,00$",1
375,No,non-travel,654.8492063492064, Sales ,1,3,Life Sciences,376,4,1,3,2, salEs eXECuTivE ,3,Married,,"13751,83$",0,,12,"3,0",1,Full Time,1,,3,"3,0",18,0,13,1973,"63470,00$",True
376,No,non-travel,290.03550973654063,,29,4,,377,4,1,3,1, laBoratORy TeCHNicIan ,3,Single,,"6090,75$",9,No,12,"3,0",2,Part Time,0,"10,0",2,"3,0",8,7,7,1991,"28111,13$",1
377,No,travel_frequently,776.3888888888888,,2,3,Marketing,378,3,1,2,3, saLEs eXEcutivE ,2,,,"16304,17$",2,,12,"3,0",1,Part Time,1,"30,0",2,,15,6,12,1970,"75250,00$",1
378,No,travel_rarely,556.2566609977324,,26,3,,379,3,0,3,2, SAles ExECutiVE ,1,Married,"4492,84$","11681,39$",1,,14,"3,0",2,Part Time,1,"8,0",3,"2,0",7,7,5,1983,"53914,11$",0
379,No,,1582.7713464696226,,2,1,,380,3,0,2,4, maNAGER ,1,Single,"12783,92$","33238,20$",7,No,15,"3,0",2,,0,,3,"4,0",9,6,2,1968,,True
380,Yes,non-travel,1032.4872861766066,,24,2,,381,2,0,2,3, HeaLthcarE rEPrESeNtATIVE ,1,Single,"8339,32$","21682,23$",1,No,12,"3,0",1,Part Time,0,"10,0",2,"2,0",10,1,9,1995,"100071,84$",False
381,No,travel_rarely,377.6190476190477,,10,3,Other,382,3,1,3,2, ReSeArCH ScIEntIsT ,3,Single,"3050,00$","7930,00$",3,No,13,"3,0",4,,0,,4,"4,0",8,1,7,1995,,Yes
382,Yes,,1032.4872861766066,,4,3,Technical Degree,383,4,0,3,3, SAlEs EXECUTIVE ,1,,,"21682,23$",0,,22,"4,0",1,Part Time,0,"9,0",2,"3,0",8,4,7,1988,"100071,84$",Yes
383,Yes,travel_frequently,556.2566609977324, Research & Development ,-36,4,Medical,384,36,1,2,2, ReseaRch scIenTisT ,3,Single,"4492,84$","11681,39$",1,No,22,"4,0",2,Part Time,0,"14,0",4,"3,0",13,3,8,1990,"53914,11$",1
384,Yes,,290.03550973654063, Research & Development ,4,1,Technical Degree,385,4,0,3,1, LaBoraTORY teCHNiCIaN ,4,Married,,"6090,75$",1,,15,,2,Part Time,1,"7,0",3,"4,0",7,5,6,1998,"28111,13$",Yes
385,No,,901.7460317460316, Sales ,10,4,,386,3,0,2,3, sALEs ExeCuTive ,3,,"7283,33$","18936,67$",0,Yes,14,"3,0",2,Part Time,2,"9,0",2,,8,2,7,1985,"87400,00$",True
386,No,,1032.4872861766066,,-12,3,,387,12,1,3,3, manUFactURiNG dIReCtoR ,2,,,"21682,23$",0,,17,"3,0",2,Part Time,3,,3,"2,0",9,1,7,1995,"100071,84$",True
387,No,travel_frequently,1032.4872861766066,,27,3,Life Sciences,388,3,1,3,3, maNufactUrinG dIREctOr ,1,Married,,"21682,23$",8,No,11,"3,0",3,Part Time,1,"18,0",1,"3,0",8,0,1,1980,"100071,84$",False
388,Yes,travel_frequently,1582.7713464696226, Research & Development ,2,3,Life Sciences,389,1,0,3,4, heALtHCARE rePResENtAtivE ,4,,"12783,92$","33238,20$",7,No,11,"3,0",4,Full Time,3,"21,0",4,"3,0",18,11,5,1984,"153407,07$",0
389,No,travel_rarely,1973.9841269841268,,14,3,,390,3,0,2,5, rEsearch diRecTOR ,3,,,"41453,67$",1,No,14,,1,Full Time,0,,2,,20,4,9,1983,"191324,62$",Yes
390,No,travel_rarely,556.2566609977324,,8,1,Medical,391,2,0,2,2, maNUfaCTUrinG DIReCtOR ,4,Married,"4492,84$","11681,39$",1,,15,"3,0",3,,1,"10,0",2,"2,0",10,1,2,1994,,Yes
391,No,,1392.7539682539682,,-32,4,,392,2,1,3,3, ResEaRCH dIReCtor ,3,,"11249,17$","29247,83$",9,No,17,"3,0",3,Full Time,0,"20,0",3,"2,0",18,2,13,1983,"134990,00$",0
392,No,travel_rarely,290.03550973654063,,3,4,,393,1,0,4,1, lABORATorY TEchNIciAN ,4,,"2342,59$","6090,75$",1,,22,"4,0",2,Part Time,1,"8,0",2,"3,0",8,0,7,1997,"28111,13$",True
393,No,travel_rarely,1032.4872861766066,,2,3,,394,3,0,2,3, mAnuFAcTuRinG direCToR ,2,Divorced,"8339,32$","21682,23$",2,No,18,"3,0",2,,1,"15,0",2,"4,0",7,6,4,1988,,Yes
394,No,,1973.9841269841268, Research & Development ,7,2,Medical,395,4,1,3,5, ManAgEr ,3,Divorced,"15943,72$","41453,67$",3,No,18,"3,0",2,Full Time,1,"26,0",6,"3,0",7,4,7,1970,"191324,62$",0
395,No,,556.2566609977324,,17,4,Life Sciences,396,3,0,3,2, SALes ExeCUTIvE ,1,,,"11681,39$",3,,15,"3,0",4,Part Time,3,"15,0",2,"3,0",7,1,7,1988,"53914,11$",1
396,No,,556.2566609977324,,25,3,Medical,397,2,1,3,2, sAles exeCutive ,3,,"4492,84$","11681,39$",1,No,12,"3,0",1,Part Time,1,,3,"2,0",10,0,1,1990,"53914,11$",1
397,No,,290.03550973654063, Research & Development ,6,4,Life Sciences,398,3,0,1,1, laboRAtORy TecHnICiAN ,3,Divorced,,"6090,75$",1,No,14,"3,0",3,Part Time,1,,4,"3,0",7,1,7,1987,"28111,13$",1
398,No,travel_rarely,360.1825396825397,,7,4,Life Sciences,399,3,0,3,2, lAbORATorY tECHnICIaN ,3,Divorced,"2909,17$","7563,83$",1,,13,,1,Part Time,3,,4,"2,0",10,8,9,1993,"34910,00$",True
399,No,,538.5714285714286,,-29,4,,400,29,0,4,2, SalEs ExeCutIVe ,4,Divorced,"4350,00$","11310,00$",0,,18,"3,0",2,,1,"12,0",3,"3,0",11,1,9,1963,,True
400,No,,556.2566609977324,,2,2,Life Sciences,401,4,1,3,2, resEArch scIENTisT ,3,Single,,"11681,39$",4,Yes,14,"3,0",4,Part Time,0,"10,0",2,"3,0",8,0,7,1991,"53914,11$",0
401,No,,1057.7460317460318,,1,3,Technical Degree,402,3,1,1,3, mANUFaCTuRing DirECtOR ,1,Divorced,"8543,33$","22212,67$",2,Yes,21,"4,0",3,Full Time,1,"17,0",2,"3,0",7,7,7,1987,"102520,00$",Yes
402,No,travel_rarely,290.03550973654063,,14,3,,403,1,0,3,1, rEseARcH sciENTIST ,1,,"2342,59$","6090,75$",1,,14,"3,0",4,,2,,3,"2,0",9,6,8,1996,,Yes
403,No,,2036.6666666666667, Research & Development ,3,3,Life Sciences,404,3,0,1,5, ReSeARCH diRECtoR ,4,,"16450,00$","42770,00$",3,No,14,"3,0",2,Full Time,1,,2,"3,0",8,0,7,1980,"197400,00$",Yes
404,No,travel_rarely,1582.7713464696226,,1,3,,405,4,1,2,4, ReSeArCh dirECTOR ,4,Divorced,,"33238,20$",3,No,14,"3,0",2,Full Time,2,"9,0",2,"2,0",7,1,7,1994,"153407,07$",True
405,No,,1032.4872861766066,,-24,4,,406,24,0,3,3, MANufactUring Director ,4,Single,"8339,32$","21682,23$",6,No,12,"3,0",4,Part Time,0,,6,"2,0",9,5,4,1964,"100071,84$",False
406,No,travel_rarely,1032.4872861766066,,4,4,Marketing,407,4,1,2,3, salES ExECUTIVE ,4,Single,"8339,32$","21682,23$",3,No,14,"3,0",4,Part Time,0,"23,0",3,"4,0",21,15,17,1980,"100071,84$",Yes
407,Yes,travel_rarely,1032.4872861766066,,15,3,Medical,408,1,1,3,3, hEALtHcARE rePrESeNtATIve ,4,Married,"8339,32$","21682,23$",1,,11,"3,0",4,Part Time,1,,2,"3,0",10,0,5,1979,"100071,84$",Yes
408,Yes,,290.03550973654063, Research & Development ,7,3,Technical Degree,409,2,1,3,1, LAborAtOry TEchniCIAn ,3,Divorced,"2342,59$","6090,75$",3,Yes,13,"3,0",1,,2,"10,0",2,"3,0",7,7,7,1994,,1
409,No,travel_rarely,640.6111111111111,,8,3,,410,3,0,4,2, SalEs eXecUTive ,4,Married,"5174,17$","13452,83$",1,,15,"3,0",3,Full Time,2,,4,"4,0",10,0,8,1991,"62090,00$",False
410,No,travel_rarely,731.9206349206349,,10,4,Technical Degree,411,4,1,3,3, HEalthCare REPresenTaTIve ,3,Married,,"15370,33$",3,No,12,"3,0",1,Part Time,0,,0,"3,0",7,1,7,1987,"70940,00$",True
411,Yes,,1032.4872861766066, Sales ,5,3,,412,2,0,3,3, SaLeS eXECutiVE ,2,Single,"8339,32$","21682,23$",9,Yes,19,"3,0",3,Part Time,0,,2,"2,0",8,7,7,1971,"100071,84$",Yes
412,No,travel_rarely,467.7936507936508,,-33,2,,413,1,0,3,2, mAnuFAcTuRiNG diRECtOR ,3,Single,"3778,33$","9823,67$",0,,11,"3,0",1,,0,,6,,8,1,7,1984,"45340,00$",True
413,No,,876.984126984127,,9,3,,414,4,0,3,3, HeAlthcarE rEPreSentATive ,4,,"7083,33$","18416,67$",0,,11,,4,Part Time,1,"10,0",0,"2,0",9,1,6,1989,"85000,00$",True
414,No,,556.2566609977324,,2,2,Life Sciences,415,2,1,3,2, SALEs eXEcUtive ,1,,,"11681,39$",3,,15,"3,0",4,,1,"11,0",3,"3,0",7,1,7,1985,"53914,11$",True
415,No,travel_frequently,478.62698412698415, Sales ,-12,3,Marketing,416,12,1,4,2, SalEs eXECuTive ,1,Marreid,"3865,83$","10051,17$",2,No,16,"3,0",4,Part Time,1,,2,"2,0",15,6,13,1987,"46390,00$",1
416,No,,553.3253968253969,,1,3,,417,4,1,2,2, labORATORY TecHnICian ,4,,"4469,17$","11619,83$",0,No,12,"3,0",2,Part Time,1,"10,0",0,"3,0",9,0,0,1988,"53630,00$",0
417,Yes,,1582.7713464696226,,13,4,,418,1,0,4,4, sAleS EXecUtiVE ,3,,"12783,92$","33238,20$",6,,17,"3,0",3,Full Time,0,,2,"2,0",19,3,8,1968,"153407,07$",True
418,No,,556.2566609977324,,29,3,,419,2,0,3,2, lAborAtory TeChNiCIAN ,3,,"4492,84$","11681,39$",4,,13,"3,0",1,Part Time,2,"10,0",1,"3,0",8,7,7,1989,"53914,11$",0
419,No,,421.0555555555556,,6,3,Medical,420,1,1,2,2, rEsEArCH SCiENtIsT ,3,Single,"3400,83$","8842,17$",1,Yes,14,"3,0",1,Part Time,0,"20,0",3,"1,0",20,1,8,1980,"40810,00$",False
420,No,travel_rarely,1582.7713464696226,,10,3,Human Resources,421,3,1,3,4, MANAGER ,1,Married,"12783,92$","33238,20$",0,,14,"3,0",3,Full Time,1,"21,0",5,"3,0",20,0,9,1981,"153407,07$",False
421,No,travel_rarely,369.1587301587302,,7,3,,422,3,0,4,1, LaboratOry tEchNicIaN ,1,Single,,"7752,33$",0,No,12,"3,0",4,Full Time,0,"8,0",2,"3,0",7,0,7,1997,"35780,00$",True
422,Yes,,1032.4872861766066,,14,1,Other,423,3,1,3,3, heaLtHCaRe REpResENtaTive ,4,Single,"8339,32$","21682,23$",0,Yes,12,"3,0",1,Part Time,0,,1,"3,0",8,7,7,1994,"100071,84$",1
423,No,,1787.809523809524, Research & Development ,1,3,,424,4,1,3,4, rESeaRCH DIReCToR ,4,,,"37544,00$",6,,19,"3,0",4,Full Time,0,"29,0",3,"2,0",20,12,7,1969,"173280,00$",0
424,No,,1582.7713464696226,,1,4,,425,2,0,4,4, reseaRCh dirEcTOr ,4,Divorced,"12783,92$","33238,20$",2,No,13,"3,0",4,Full Time,2,"31,0",4,"4,0",7,0,0,1968,"153407,07$",True
425,No,non-travel,556.2566609977324,,9,4,Other,426,3,0,3,2, lABORAtoRy TecHNiCIan ,3,,"4492,84$","11681,39$",3,No,11,"3,0",3,Part Time,2,"11,0",2,,8,0,7,1983,"53914,11$",Yes
426,No,,1113.563492063492,,8,2,,427,1,0,3,3, Sales eXEcUTive ,4,Divorced,"8994,17$","23384,83$",1,,18,,1,Full Time,1,"13,0",5,"3,0",13,9,9,1992,"107930,00$",True
427,Yes,,1032.4872861766066,,9,3,Marketing,428,1,0,3,3, SaLeS EXecUtiVe ,4,Divorced,"8339,32$","21682,23$",4,No,11,"3,0",1,,1,"28,0",1,"4,0",7,4,3,1977,,Yes
428,No,travel_rarely,1119.547619047619,,20,3,Medical,429,2,0,1,3, healtHCARe RePresenTATiVE ,1,,"9042,50$","23510,50$",2,Yes,18,"3,0",2,Full Time,1,,2,"3,0",7,0,7,1978,"108510,00$",False
429,No,travel_rarely,1079.8253968253969,,7,4,Life Sciences,430,3,0,3,3, hEAltHcArE RepreSeNTATivE ,2,Divorced,,"22676,33$",3,,14,"3,0",2,Full Time,2,"29,0",3,"3,0",8,0,7,1974,"104660,00$",0
430,No,travel_rarely,556.2566609977324,,19,3,,431,3,0,2,2, SAlES eXeCuTIve ,3,,"4492,84$","11681,39$",1,,14,"3,0",3,Part Time,2,"10,0",3,"3,0",10,0,4,1994,"53914,11$",1
431,Yes,,243.6984126984127,,1,4,Technical Degree,432,1,0,2,1, RESEarcH SCiENTiSt ,1,Single,,"5117,67$",6,No,13,"3,0",3,Part Time,0,,2,"1,0",9,0,7,1994,"23620,00$",1
432,No,,556.2566609977324,,8,1,Other,433,3,1,1,2, HealtHcaRe REpReSENTatIve ,1,,,"11681,39$",3,No,13,"3,0",3,Part Time,1,"9,0",3,"3,0",7,0,7,1994,"53914,11$",1
433,No,travel_rarely,1582.7713464696226, Human Resources ,6,2,,434,3,0,3,4, mANAGeR ,4,Single,"12783,92$","33238,20$",1,Yes,21,"4,0",4,Full Time,0,"21,0",2,"3,0",21,7,7,1983,"153407,07$",1
434,No,,664.3412698412699, Sales ,16,4,Life Sciences,435,3,1,3,2, saLeS exECUtive ,3,Divorced,,"13951,17$",8,No,14,"3,0",3,Full Time,1,"18,0",2,,8,7,7,1975,"64390,00$",1
435,Yes,,1032.4872861766066,,2,5,,436,3,1,2,3, maNUFaCTuRINg DiRECTOr ,4,Married,,"21682,23$",0,,16,"3,0",2,Part Time,1,,4,"3,0",33,1,9,1970,"100071,84$",Yes
436,No,,1973.9841269841268,,7,3,Medical,437,2,1,3,5, REsearcH DiREcToR ,4,,,"41453,67$",0,Yes,14,,4,,1,,4,"2,0",22,1,10,1979,"191324,62$",0
437,No,,595.2142857142857,,5,5,,438,3,1,1,2, laBORATOrY TEchNICian ,1,,,"12499,50$",1,,14,"3,0",1,Full Time,0,"10,0",3,"3,0",10,1,4,1978,"57690,00$",False
438,No,non-travel,452.4206349206349,,26,3,Marketing,439,1,0,2,2, saLES ExeCutive ,1,,"3654,17$","9500,83$",1,,15,,1,,1,"10,0",2,,10,4,5,1978,,0
439,No,travel_frequently,556.2566609977324,,10,4,,440,3,0,4,2, ManuFacTuRiNg DIrEcTOr ,4,,"4492,84$","11681,39$",1,,13,"3,0",1,Part Time,1,"9,0",3,,9,7,2,1989,"53914,11$",1
440,No,,556.2566609977324, Research & Development ,10,5,Medical,441,2,0,3,2, maNuFAcTURInG DIReCtoR ,1,,"4492,84$","11681,39$",2,,13,"3,0",4,,3,,3,"3,0",7,7,7,1984,,0
441,No,,419.50793650793656, Research & Development ,-36,3,,442,36,0,2,1, LABORaTorY TEChNIcIAN ,1,Divorced,"3388,33$","8809,67$",1,No,11,"3,0",1,Full Time,2,"7,0",3,"3,0",7,0,7,1996,"40660,00$",Yes
442,No,travel_rarely,556.2566609977324,,2,2,,443,4,1,2,2, mANufacTuRiNG diReCTOr ,4,Divorced,"4492,84$","11681,39$",1,,19,"3,0",1,,2,"10,0",3,"3,0",10,3,9,1978,,1
443,No,,556.2566609977324,,1,5,,444,1,0,3,2, HUmAn resOuRceS ,4,Married,"4492,84$","11681,39$",4,Yes,11,"3,0",3,,0,"14,0",3,"3,0",10,0,2,1979,,True
444,No,,537.1269841269842,,2,1,Life Sciences,445,4,0,4,2, MaNuFACtuRInG dirECTOR ,3,Divorced,"4338,33$","11279,67$",1,,17,"3,0",3,Part Time,2,"7,0",6,"3,0",7,0,7,1998,"52060,00$",False
445,No,,1582.7713464696226,,1,3,,446,3,0,3,4, MANAgEr ,3,Single,"12783,92$","33238,20$",4,,14,"3,0",1,Full Time,0,"23,0",2,"3,0",8,0,0,1974,"153407,07$",True
446,Yes,travel_frequently,273.92857142857144,,7,2,,447,4,1,3,1, SaLeS rEPRESENTATive ,3,,"2212,50$","5752,50$",2,,11,,3,,2,"19,0",3,"3,0",9,7,7,1975,,0
447,No,,265.1587301587302,,7,3,Medical,448,4,0,3,1, lAboRAtORy TecHnIcIaN ,4,,"2141,67$","5568,33$",1,No,20,"4,0",3,Part Time,0,"7,0",5,"3,0",7,5,7,1997,"25700,00$",1
448,No,travel_rarely,1032.4872861766066,,2,3,Life Sciences,449,3,1,4,3, hEALThCare RepreseNtATIVE ,4,,"8339,32$","21682,23$",1,,19,,2,Part Time,1,,2,"3,0",8,6,7,1979,"100071,84$",1
449,No,,464.4920634920635,,2,4,,450,3,1,3,2, SAles REpReSENtaTiVE ,4,Single,"3751,67$","9754,33$",3,,15,,3,Part Time,0,"17,0",2,"2,0",13,6,7,1987,"45020,00$",Yes
450,No,,556.2566609977324, Research & Development ,13,4,,451,3,0,3,2, hEalTHcARe RePrEseNTATive ,2,Single,"4492,84$","11681,39$",6,No,14,"3,0",4,Part Time,0,"19,0",3,"3,0",10,0,9,1977,"53914,11$",True
451,No,,556.2566609977324,,27,4,Life Sciences,452,4,0,3,2, MaNUFaCtuRiNG DirEctOr ,3,Married,"4492,84$","11681,39$",2,,16,"3,0",2,Part Time,1,"17,0",3,"3,0",7,0,7,1988,"53914,11$",Yes
452,No,travel_frequently,512.5714285714286,,2,4,,453,4,1,2,1, REsEArCh scientiST ,1,,"4140,00$","10764,00$",0,,16,"3,0",4,,0,"10,0",2,,9,0,7,1993,"49680,00$",False
453,No,,1032.4872861766066,,15,2,Marketing,454,3,0,2,3, sALeS eXeCuTivE ,1,,"8339,32$","21682,23$",2,No,11,"3,0",1,Part Time,1,,2,"3,0",7,1,7,1993,"100071,84$",1
454,No,non-travel,531.0396825396825,,2,3,Marketing,455,4,1,3,2, sALEs EXEcUtIvE ,2,,"4289,17$","11151,83$",8,No,15,"3,0",4,Part Time,0,"13,0",2,"2,0",11,1,7,1990,"51470,00$",True
455,No,,280.42857142857144,,5,4,,456,2,0,3,1, REsEarCH SciENtIST ,2,Single,"2265,00$","5889,00$",2,No,14,"3,0",2,Part Time,0,"12,0",3,"3,0",7,0,7,1991,"27180,00$",1
456,No,travel_rarely,365.1349206349206,,2,3,Life Sciences,457,2,0,3,1, HuMAN reSourcEs ,4,,"2949,17$","7667,83$",0,No,13,"3,0",2,,0,,5,"3,0",9,1,8,1980,,False
457,No,travel_rarely,564.1587301587302,,29,4,Marketing,458,1,1,2,2, SALeS ExECUtIVE ,4,,"4556,67$","11847,33$",1,,14,"3,0",1,Full Time,2,,3,"3,0",12,5,7,1992,"54680,00$",1
458,Yes,,599.7539682539682,,27,3,,459,3,0,3,2, SaLEs EXEcuTIVe ,4,,"4844,17$","12594,83$",1,,18,"3,0",4,,0,,2,"3,0",10,7,7,1988,,False
459,No,non-travel,556.2566609977324, Research & Development ,2,2,Medical,460,2,0,3,2, mANuFActuring DireCtOR ,4,Divorced,"4492,84$","11681,39$",2,No,14,"3,0",3,,1,"15,0",6,"3,0",7,1,7,1988,"53914,11$",0
460,No,,997.3888888888888,,10,3,Medical,461,1,1,3,3, MANufaCturiNg dIrECtOr ,3,Single,"8055,83$","20945,17$",9,No,14,"3,0",2,Part Time,0,"9,0",3,"3,0",7,0,2,1993,"96670,00$",False
461,Yes,travel_rarely,556.2566609977324,,-19,2,Medical,462,4,1,3,2, heALThcare RePreSeNtatIve ,2,Married,"4492,84$","11681,39$",4,No,22,"4,0",4,,1,"13,0",2,"4,0",9,3,7,1977,,0
462,No,non-travel,531.7619047619048,,2,4,,463,3,1,3,2, sAlEs EXeCUTive ,3,Married,,"11167,00$",4,,22,"4,0",2,Part Time,2,"10,0",3,"4,0",8,5,7,1978,"51540,00$",False
463,No,travel_frequently,585.515873015873,,2,4,Life Sciences,464,1,0,3,2, SALEs eXecuTIVE ,4,Married,"4729,17$","12295,83$",1,,20,"4,0",3,Full Time,1,"7,0",5,"3,0",7,7,7,1980,"56750,00$",0
464,Yes,,754.6190476190477,,10,3,Life Sciences,465,3,1,3,3, saLES exeCuTIVe ,2,,"6095,00$","15847,00$",5,,21,"4,0",3,Part Time,3,"14,0",2,"3,0",8,0,7,1977,"73140,00$",1
